0,0.74825,0.80528,0.79105,0.53756
0.0001,0.74679,0.80505,0.7905,0.53757
0.0002,0.74597,0.80496,0.79135,0.53761
0.0003,0.74685,0.80665,0.79122,0.53769
0.0004,0.7473,0.80657,0.79111,0.5377
0.0005,0.74745,0.80562,0.79067,0.53751
0.0006,0.74682,0.80439,0.79135,0.53773
0.0007,0.74677,0.80558,0.79235,0.53773
0.0008,0.74786,0.80587,0.79196,0.53776
0.0009,0.7461,0.80561,0.79066,0.53758
0.001,0.74622,0.80491,0.7906,0.53772
0.0011,0.74689,0.80676,0.79032,0.5377
0.0012,0.74682,0.80779,0.79163,0.53767
0.0013,0.74802,0.80597,0.79169,0.53771
0.0014,0.74843,0.80639,0.79178,0.5377
0.0015,0.74765,0.80574,0.7907,0.53767
0.0016,0.74739,0.80513,0.79048,0.53766
0.0017,0.74739,0.80476,0.79149,0.53774
0.0018,0.74694,0.80651,0.79093,0.53779
0.0019,0.74618,0.8064,0.79121,0.53766
0.002,0.74649,0.80655,0.79143,0.53767
0.0021,0.74667,0.8061,0.79017,0.53767
0.0022,0.74682,0.80619,0.79049,0.53755
0.0023,0.74638,0.80581,0.79126,0.53771
0.0024,0.74807,0.80584,0.79159,0.5377
0.0025,0.7476,0.80635,0.79192,0.53765
0.0026,0.7468,0.80493,0.79125,0.53771
0.0027,0.74604,0.80567,0.7917,0.53765
0.0028,0.74737,0.80552,0.79136,0.53763
0.0029,0.74579,0.80693,0.79133,0.53765
0.003,0.74603,0.80624,0.79104,0.53768
0.0031,0.74692,0.80466,0.7913,0.53753
0.0032,0.74677,0.8055,0.79082,0.53762
0.0033,0.74621,0.80556,0.79089,0.53763
0.0034,0.74687,0.80548,0.79023,0.53775
0.0035,0.74631,0.80667,0.79149,0.53776
0.0036,0.7462,0.80556,0.79125,0.5376
0.0037,0.74832,0.80606,0.7919,0.53761
0.0038,0.74711,0.80615,0.7928,0.5377
0.0039,0.74717,0.80536,0.79153,0.53772
0.004,0.74667,0.80583,0.79073,0.53775
0.0041,0.74749,0.8049,0.79116,0.53792
0.0042,0.74679,0.80468,0.79092,0.5378
0.0043,0.74638,0.80589,0.79099,0.53765
0.0044,0.74695,0.80701,0.79194,0.53757
0.0045,0.74622,0.8071,0.79135,0.53766
0.0046,0.74804,0.80682,0.79083,0.53756
0.0047,0.74752,0.80599,0.7914,0.53755
0.0048,0.74628,0.80556,0.79144,0.53756
0.0049,0.74659,0.80544,0.79181,0.53759
0.005,0.74647,0.8051,0.79259,0.53755
0.0051,0.74628,0.80608,0.79149,0.53755
0.0052,0.74792,0.80616,0.79146,0.5375
0.0053,0.74757,0.80612,0.79049,0.5375
0.0054,0.74651,0.80585,0.79025,0.53745
0.0055,0.74585,0.80627,0.79079,0.53754
