max x,max y,max z,min x,min y,min z,mean x,mean y,mean z,std x,std y,std z,max diff x,max diff y,max diff z,max E,min E,mean E,std E,class,hand
0.0,-0.640625,0.625,-0.640625,-1.671875,-0.109375,-0.21513671875,-0.9146484375,0.17685546875,0.09915037238319088,0.14608112406763582,0.12775044811771014,0.515625,0.625,0.546875,1.8330595794667996,0.6649350884672879,0.9689131283701515,0.15062011841333045,bendingDown,leftHand
1.03125,-0.375,0.71875,-0.609375,-1.484375,-0.1875,0.0609375,-0.8587890625,0.04951171875,0.43053830504936486,0.20372422724846323,0.1577777305691039,0.390625,0.53125,0.71875,1.6636773321846396,0.6696912184917763,0.9858385053382885,0.1487659453353975,bendingDown,leftHand
0.921875,-0.421875,0.21875,-0.359375,-1.046875,-0.234375,0.064453125,-0.85947265625,0.00498046875,0.3692261792620306,0.13068697648914676,0.13778883367711497,0.1875,0.140625,0.09375,1.120760240026831,0.6269500827418399,0.9537736224839362,0.06731881622580642,bendingDown,leftHand
0.265625,-0.5625,0.734375,-0.484375,-1.53125,-0.359375,-0.13388671875,-0.9716796875,0.12099609375,0.11623693187256286,0.2110052775165561,0.17134483408101053,0.359375,0.421875,0.59375,1.538963353405467,0.5931329030031971,1.008094337681519,0.21821465419425062,bendingDown,leftHand
0.921875,0.109375,0.234375,-0.65625,-1.28125,-0.703125,0.14150390625,-0.8212890625,-0.1572265625,0.3328489082447291,0.3166959242072637,0.2588515517106571,0.5,0.265625,0.234375,1.3417499650642812,0.7390145993990918,0.9912316315956667,0.11468260344530727,bendingDown,leftHand
0.125,-0.5,0.390625,-0.90625,-1.546875,-0.09375,-0.18291015625,-0.95302734375,0.13388671875,0.1154013761968205,0.2120817719690868,0.10772169512226748,1.03125,0.546875,0.453125,1.8085895315825533,0.5453102614567233,0.991243778990545,0.21641309380226922,bendingDown,leftHand
1.0,-0.28125,0.3125,-0.359375,-1.09375,-0.375,0.04013671875,-0.852734375,0.01962890625,0.3757919681693327,0.16810884122506642,0.18597260875497104,0.265625,0.390625,0.203125,1.311104168487386,0.7218005914031935,0.9600742863813592,0.10131271051035838,bendingDown,leftHand
1.140625,-0.09375,0.71875,-1.46875,-1.796875,-0.734375,-0.024609375,-0.8322265625,0.05859375,0.4727279779180888,0.32259865671628796,0.21263493449924178,1.8125,0.625,0.734375,2.3208253852347442,0.47418721579667245,1.0033247563919956,0.24654567061002228,bendingDown,leftHand
1.046875,-0.34375,1.0,-0.640625,-2.0,-0.53125,0.06416015625,-0.911328125,0.059765625,0.3619892984547058,0.3021403417526148,0.31841179916930823,0.59375,0.890625,0.75,2.3062627032170466,0.38305158350410196,1.0304578214731248,0.3141157145627052,bendingDown,leftHand
0.40625,-0.203125,1.34375,-0.53125,-1.59375,-0.015625,-0.0810546875,-0.91416015625,0.3794921875,0.11075177256938247,0.2888505930894381,0.2027458324604735,0.859375,0.5,0.84375,2.1103007227940287,0.213096589015404,1.0076886911727367,0.3278102349538323,bendingDown,leftHand
1.984375,0.859375,1.984375,-1.6875,-2.0,-1.8125,-0.36337890625,-0.86748046875,-0.04052734375,0.39629821652310493,0.5020471183761016,0.433460322921424,2.40625,1.90625,3.109375,3.410189808683675,0.3125,1.1259188414610843,0.46163620598482197,bendingDown,leftHand
0.84375,-0.453125,0.5,-0.578125,-1.625,-0.5,0.03583984375,-0.853125,0.01845703125,0.3488472709787409,0.25599748833341873,0.2754794983635749,0.265625,0.453125,0.421875,1.7315573959950044,0.4992670408959518,0.9691943991449404,0.22783252631966147,bendingDown,leftHand
0.75,0.84375,1.0,-1.6875,-1.5,-0.515625,-0.16025390625,-0.77001953125,0.10927734375,0.47706606126665035,0.5299134937313968,0.25117340139664035,1.265625,0.5625,0.40625,1.819088241743649,0.2768757054167086,1.0469825446939462,0.3208433769247047,bendingDown,leftHand
0.921875,-0.546875,0.875,-0.5,-1.75,-0.453125,-0.04169921875,-0.90234375,0.13173828125,0.2922157021239311,0.20176354941915006,0.229951187223887,0.375,0.734375,0.75,1.9596142198466002,0.5635840249022323,0.9810857556557039,0.22125150527741883,bendingDown,leftHand
0.875,0.546875,0.953125,-1.546875,-1.328125,-0.328125,-0.0044921875,-0.792578125,0.06826171875,0.47968888442684293,0.3702569129059421,0.2239774509743856,1.125,0.34375,1.0625,1.720950296166336,0.14320549046737,0.9906171588788716,0.258270186230439,bendingDown,leftHand
0.125,0.734375,1.5625,-1.0,-2.0,-0.09375,-0.282958984375,-0.580322265625,0.364501953125,0.23270182275675177,0.6559708770124841,0.3304985939701317,0.609375,0.609375,1.625,2.5410689187820155,0.42245330733111797,1.0049399321430588,0.3603480694722398,bendingDown,leftHand
0.84375,0.765625,1.296875,-1.234375,-1.703125,-0.59375,-0.4513671875,-0.51025390625,0.07783203125,0.29323471287218883,0.6262297426113109,0.37702737424360067,0.671875,0.25,0.578125,1.7653484296662232,0.37662408728731095,1.008517386281031,0.26438954906390766,bendingDown,leftHand
0.125,-0.4375,0.625,-0.5625,-1.703125,-0.25,-0.293359375,-0.8876953125,0.078515625,0.12211627967070238,0.28811709295808663,0.14350486259237777,0.3125,0.25,0.578125,1.7216594692694023,0.5004880430639677,0.9601471118512365,0.27676782085529056,bendingDown,leftHand
-0.140625,-0.40625,0.375,-0.890625,-1.59375,-0.265625,-0.4056640625,-0.84501953125,-0.0076171875,0.19601886811311883,0.3213419513152513,0.15120579925349806,0.296875,0.21875,0.21875,1.6011622975591824,0.5158616881005993,0.9829758264380823,0.2764677574717749,bendingDown,leftHand
0.0625,-0.171875,0.703125,-1.09375,-1.65625,-0.890625,-0.45185546875,-0.8212890625,-0.032421875,0.21444675030406476,0.350919058712951,0.31115843123687903,0.6875,0.421875,0.609375,1.685038714317864,0.5704730082352714,1.0371487698633504,0.26226236805227465,bendingDown,leftHand
-0.0625,-0.09375,0.859375,-0.875,-1.59375,-0.546875,-0.46083984375,-0.763671875,0.22109375,0.17434524930032302,0.3162498582264082,0.2677478297834991,0.234375,0.359375,0.34375,1.6139195544155849,0.609975665498223,1.0013287268652153,0.20711213700838835,bendingDown,leftHand
0.234375,-0.140625,0.125,-1.015625,-1.5,-0.796875,-0.4658203125,-0.70458984375,-0.22509765625,0.2945054365867413,0.35935917757672936,0.18673929212052173,0.390625,0.3125,0.28125,1.5662455107677085,0.49533960887960493,0.986753024011958,0.1996215781009863,bendingDown,leftHand
0.1875,0.0625,0.59375,-1.484375,-1.375,-0.75,-0.489453125,-0.53896484375,-0.3591796875,0.2796652921948163,0.44428074739103207,0.30598047750066837,0.8125,0.34375,0.375,1.5243787156576283,0.38305158350410196,0.9897066608813588,0.21620560973494315,bendingDown,leftHand
-0.125,0.109375,0.46875,-1.0625,-1.71875,-0.5625,-0.6369140625,-0.5408203125,-0.0095703125,0.27740474709030316,0.4688711436094676,0.2125842899270807,0.25,0.296875,0.375,1.779192891102592,0.293567097313374,0.9944092516313047,0.2225889468627736,bendingDown,leftHand
0.03125,0.171875,-0.09375,-0.765625,-1.875,-0.84375,-0.41357421875,-0.61103515625,-0.51943359375,0.2112215423581288,0.5571229196123287,0.16695582419632127,0.3125,0.234375,0.25,1.913408689355204,0.5806532555019389,1.0505083224153506,0.30283006770562976,bendingDown,leftHand
0.046875,0.1875,0.453125,-0.8125,-1.625,-0.8125,-0.49013671875,-0.4994140625,-0.38779296875,0.20687101180715337,0.5228593284960515,0.32211939965639913,0.265625,0.21875,0.21875,1.6572078598127031,0.5611964061271241,1.002100281633822,0.23124624160340512,bendingDown,leftHand
0.0625,0.078125,1.046875,-1.078125,-1.46875,-0.515625,-0.51279296875,-0.516015625,0.12470703125,0.30311614476687376,0.46591764182971274,0.3733481696060749,0.40625,0.28125,0.265625,1.5722352966795397,0.6077703230867726,0.9763692591820234,0.19303337596175674,bendingDown,leftHand
0.234375,0.21875,0.875,-0.953125,-1.671875,-0.796875,-0.4271484375,-0.6591796875,-0.07939453125,0.24489861694999684,0.5103380066498556,0.3227104161413134,0.828125,0.328125,0.609375,1.7129162359117271,0.42042575147105343,0.978006870884632,0.29874102716471324,bendingDown,leftHand
0.046875,0.109375,0.65625,-1.09375,-1.453125,-0.453125,-0.6314453125,-0.55205078125,-0.13359375,0.2532063178595466,0.48393804429774406,0.2334908638267588,0.328125,0.28125,0.25,1.553175300996317,0.4624577683421482,1.0081980935344927,0.2363015321697995,bendingDown,leftHand
-0.015625,0.09375,0.875,-1.234375,-1.734375,-0.84375,-0.62080078125,-0.61455078125,-0.16572265625,0.2566774905944129,0.47859076089133745,0.3009005706773214,0.453125,0.265625,0.4375,1.755710548823467,0.41221581119602874,1.0375367377982978,0.31260670449352307,bendingDown,leftHand
0.140625,0.046875,1.046875,-1.03125,-1.546875,-0.328125,-0.557421875,-0.53984375,0.1369140625,0.2858182349563602,0.47774647685545385,0.3080335665197693,0.21875,0.390625,0.34375,1.6088439657872358,0.42331928700450205,0.9876217209043198,0.21928997028758848,bendingDown,leftHand
-0.140625,0.109375,0.5625,-1.15625,-1.75,-0.28125,-0.6763671875,-0.56357421875,0.06337890625,0.24054948263141482,0.46732002099605885,0.17724725529332275,0.4375,0.265625,0.359375,1.7835100793449417,0.5060667106469264,1.0110202730443179,0.25116399556127944,bendingDown,leftHand
-0.1875,0.109375,0.953125,-1.15625,-1.671875,-0.484375,-0.63291015625,-0.49599609375,0.02919921875,0.24906466190947757,0.46020862941798185,0.3384749354058152,0.28125,0.15625,0.28125,1.7328258847544378,0.698421769957094,0.9951636044237405,0.20814222415524886,bendingDown,leftHand
-0.125,0.09375,0.234375,-1.109375,-1.515625,-0.3125,-0.51953125,-0.698046875,-0.076171875,0.2484103350818393,0.4458661769517922,0.12476331266957512,0.265625,0.296875,0.1875,1.578821009883641,0.46692352492137296,0.9908640857723695,0.23636123103437928,bendingDown,leftHand
-0.046875,0.203125,0.140625,-1.078125,-1.640625,-0.546875,-0.5953125,-0.5251953125,-0.2771484375,0.2785410683702996,0.5229682683366254,0.13303905136385635,0.25,0.203125,0.265625,1.6587540033862767,0.44496971455931694,1.0103118482646916,0.2304685153220739,bendingDown,leftHand
-0.109375,0.328125,1.03125,-1.109375,-1.6875,-0.625,-0.5486328125,-0.5080078125,0.10048828125,0.209514054165785,0.5408912515904389,0.4020312741570352,0.296875,0.421875,0.546875,1.7254132204344559,0.4815948439819513,1.0005104971638437,0.25202998054063136,bendingDown,leftHand
-0.0625,0.015625,1.015625,-0.828125,-1.6875,-0.390625,-0.50537109375,-0.587109375,0.29033203125,0.1694688175280699,0.46385199800312776,0.37179031210177443,0.390625,0.34375,0.421875,1.8323935209514903,0.4195537994405485,1.0028677805843114,0.24234595788610536,bendingDown,leftHand
-0.046875,0.21875,1.0625,-1.078125,-1.46875,-0.65625,-0.6080078125,-0.5498046875,0.12177734375,0.25236808064889055,0.48961423788866465,0.31234320395704385,0.390625,0.40625,0.5,1.5434779618608099,0.5365088972934187,1.0138240467418165,0.24036279208314185,bendingDown,leftHand
-0.125,-0.109375,0.484375,-1.09375,-1.640625,-0.28125,-0.52666015625,-0.72060546875,-0.00205078125,0.28222880035387815,0.37775932160611686,0.182983485147294,0.34375,0.21875,0.171875,1.6538898277999052,0.5289472149940861,0.993730707816985,0.25255587286146125,bendingDown,leftHand
0.46875,0.09375,0.734375,-1.265625,-1.59375,-1.46875,-0.68876953125,-0.5044921875,-0.13671875,0.3067372136990565,0.42933541356874044,0.3224249400730845,1.078125,0.46875,1.578125,1.851414155449828,0.5493248697264671,1.0332657597233759,0.24562452921777148,bendingDown,leftHand
-0.171875,-0.078125,0.359375,-1.0625,-1.578125,-0.171875,-0.63544921875,-0.6408203125,0.03583984375,0.23807497402716146,0.45149038107965145,0.10347545147974808,0.21875,0.328125,0.296875,1.6580915469674766,0.4293322395010652,1.0135183105727363,0.24168537667419943,bendingDown,leftHand
-0.125,0.109375,1.0625,-0.984375,-1.59375,-0.359375,-0.515625,-0.6267578125,0.28115234375,0.1946204326746434,0.48607585677464976,0.2937448610121454,0.265625,0.28125,0.40625,1.672021021660613,0.4563463083284448,1.0119411064162156,0.2689771406970843,bendingDown,leftHand
-0.046875,-0.03125,0.84375,-1.015625,-1.65625,-0.328125,-0.5447265625,-0.6400390625,0.137890625,0.20682547512212546,0.4461806145050699,0.31647215105887805,0.390625,0.265625,0.296875,1.7006145488469748,0.5134898976610932,1.0003169457230088,0.25501826087227525,bendingDown,leftHand
-0.046875,-0.125,1.09375,-0.78125,-1.5625,-0.234375,-0.43681640625,-0.69130859375,0.2984375,0.17188256554068104,0.40845790799367526,0.3189449397731814,0.328125,0.296875,0.390625,1.6436727643451419,0.5024354747129227,0.9950775775628925,0.25347076679843333,bendingDown,leftHand
0.09375,-0.125,0.90625,-0.875,-1.6875,-0.25,-0.41513671875,-0.7564453125,0.21240234375,0.1838749905387142,0.40358184152421644,0.31617482036773054,0.296875,0.3125,0.375,1.8099389233479675,0.46692352492137296,1.0097719106478653,0.25540534205023363,bendingDown,leftHand
-0.0625,-0.328125,0.765625,-0.65625,-1.515625,-0.046875,-0.3287109375,-0.86806640625,0.23349609375,0.10037651914181679,0.3130093474583155,0.16899883088117795,0.296875,0.28125,0.3125,1.5908367982763034,0.5577052592992109,0.9881955157586356,0.2753381882388731,bendingDown,leftHand
